58475.0,47795.0,12802.0,9,17,21
67574.0,51132.0,13961.0,10,18,22
15437.0,60689.0,3443.0,4,19,0
20692.0,48716.0,20192.0,6,14,24
21411.0,56305.0,3300.0,6,18,0
1506.0,57390.0,4520.0,0,19,15
66704.0,60487.0,3576.0,10,20,13
66745.0,62420.0,3082.0,9,21,12
1595.0,68873.0,11780.0,0,19,19
10139.0,27001.0,15801.0,5,12,21
1434.0,71057.0,20943.0,0,21,24
32236.0,38967.0,5395.0,7,13,15
32155.0,39283.0,5479.0,6,15,16
75621.0,36242.0,1469.0,10,12,12
46335.0,12941.0,359.0,6,0,0
80252.0,24596.0,12947.0,10,9,21
2070.0,29272.0,5149.0,1,16,15
1905.0,14927.0,7237.0,1,11,18
1842.0,2610.0,3706.0,1,9,15
18077.0,5542.0,1026.0,6,0,13
74049.0,23302.0,14714.0,9,10,21
63781.0,47380.0,2960.0,7,16,13
63883.0,47805.0,6705.0,7,14,17
6192.0,38791.0,19611.0,3,16,23
48975.0,46428.0,11654.0,8,15,18
31479.0,72522.0,12795.0,5,20,18
1607.0,3178.0,9784.0,0,0,17
1980.0,45281.0,11656.0,2,17,18
1971.0,44031.0,7770.0,1,16,16
67304.0,47142.0,3898.0,10,15,14
66256.0,49063.0,3977.0,9,18,15
31514.0,54060.0,8955.0,5,17,18
2897.0,53611.0,9607.0,2,18,18
1569.0,39287.0,5766.0,0,14,15
32510.0,44856.0,2699.0,7,13,12
54619.0,17758.0,9305.0,8,9,19
1960.0,12776.0,18475.0,1,13,23
20871.0,69125.0,6987.0,6,20,15
2777.0,49178.0,5266.0,2,15,14
1892.0,51100.0,9193.0,1,17,18
1533.0,68533.0,10052.0,0,20,17
19285.0,75546.0,20663.0,6,21,24
21256.0,57353.0,20256.0,6,15,21
1994.0,50733.0,5428.0,1,17,14
1893.0,54797.0,6037.0,2,18,16
1893.0,65238.0,12572.0,2,19,19
2231.0,58480.0,12388.0,3,16,18
69067.0,77898.0,9097.0,9,21,16
2821.0,68330.0,4787.0,2,19,13
9839.0,25013.0,10151.0,5,12,19
6605.0,46189.0,8442.0,3,17,16
1935.0,17623.0,10619.0,1,11,19
4440.0,18018.0,9328.0,4,12,17
2628.0,38590.0,19944.0,2,16,24
52848.0,48228.0,14305.0,8,16,19
76105.0,51185.0,5495.0,9,15,15
45366.0,76595.0,8241.0,6,21,17
30832.0,76287.0,20721.0,5,17,24
77145.0,30526.0,18514.0,9,10,21
15514.0,12029.0,1022.0,4,12,12
14463.0,7291.0,9587.0,4,9,19
35051.0,35202.0,18694.0,7,15,22
80067.0,24795.0,12542.0,10,9,19
80430.0,21514.0,504.0,10,0,12
46422.0,70792.0,9895.0,6,19,18
3168.0,68113.0,4705.0,2,21,13
66873.0,63037.0,3985.0,10,20,15
67994.0,39513.0,4793.0,10,13,17
46358.0,46409.0,6783.0,6,16,17
67916.0,54787.0,13659.0,10,18,21
1804.0,5562.0,19145.0,0,0,23
19968.0,10816.0,4018.0,6,12,15
19925.0,26990.0,1505.0,5,15,0
68267.0,46311.0,8743.0,10,17,19
3071.0,41108.0,4994.0,2,16,14
68324.0,61044.0,3389.0,10,19,13
77794.0,33006.0,13673.0,10,11,21
6730.0,20213.0,19359.0,3,13,23
2853.0,69134.0,19622.0,2,20,20
67913.0,63321.0,5378.0,10,21,15
68991.0,21490.0,9973.0,7,9,19
71030.0,27978.0,3360.0,8,13,14
28334.0,50401.0,5255.0,5,17,14
